Tweet,id,time,impressions,engagements,engagement rate,retweets,replies,likes,user profile clicks,url clicks,hashtag clicks,detail expands,permalink clicks,app opens,app installs,follows,email tweet,dial phone,media views,media engagements,time_utc,time_ist,date_ist,hour_ist,day_of_week,day_of_month,TweetWordCount,TweetCharCount,TweetCategory,user_profile_id,time_utc,time_ist,date_ist,hour_ist,day_of_week,day_of_month,TweetWordCount,TweetCharCount,TweetCategory,user_profile_id
id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat #tellus,6672567125560790,2020-06-30 21:09 +0000,365.0,4.0,0.010958904,0.0,0,1.0,2.0,0,0,1,0,0,0,0,0,0,0.0,0.0,2020-06-30 21:09:00+00:00,2020-07-01 02:39:00+00:00,2020-07-01,2,Wednesday,1,20,126,Other,6672567125560790,2020-06-30 21:09:00+00:00,2020-07-01 02:39:00+00:00,2020-07-01,2,Wednesday,1,20,126,Other,6672567125560790
euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non #ullamcorper,8265456713789040,2020-06-30 17:14 +0000,184.0,2.0,0.010869565,0.0,0,2.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2020-06-30 17:14:00+00:00,2020-06-30 22:44:00+00:00,2020-06-30,22,Tuesday,30,26,173,Other,8265456713789040,2020-06-30 17:14:00+00:00,2020-06-30 22:44:00+00:00,2020-06-30,22,Tuesday,30,26,173,Other,8265456713789040
leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis #in,281117346800427,2020-06-30 16:59 +0000,2644.0,46.0,0.017397882,1.0,1,17.0,0.0,3,0,23,0,0,0,0,0,0,354.0,1.0,2020-06-30 16:59:00+00:00,2020-06-30 22:29:00+00:00,2020-06-30,22,Tuesday,30,30,187,Media,281117346800427,2020-06-30 16:59:00+00:00,2020-06-30 22:29:00+00:00,2020-06-30,22,Tuesday,30,30,187,Media,281117346800427
aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt #vulputate,7758025943576750,2020-06-30 13:55 +0000,301.0,3.0,0.009966777,0.0,1,2.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2020-06-30 13:55:00+00:00,2020-06-30 19:25:00+00:00,2020-06-30,19,Tuesday,30,28,193,Other,7758025943576750,2020-06-30 13:55:00+00:00,2020-06-30 19:25:00+00:00,2020-06-30,19,Tuesday,30,28,193,Other,7758025943576750
sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue #nonummy,6131837006729570,2020-06-30 12:13 +0000,528.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,2020-06-30 12:13:00+00:00,2020-06-30 17:43:00+00:00,2020-06-30,17,Tuesday,30,31,201,Other,6131837006729570,2020-06-30 12:13:00+00:00,2020-06-30 17:43:00+00:00,2020-06-30,17,Tuesday,30,31,201,Other,6131837006729570
consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at #ut,7158204930285070,2020-06-30 12:06 +0000,962.0,37.0,0.038461538,0.0,2,7.0,6.0,0,3,19,0,0,0,0,0,0,0.0,0.0,2020-06-30 12:06:00+00:00,2020-06-30 17:36:00+00:00,2020-06-30,17,Tuesday,30,30,198,Hashtags,7158204930285070,2020-06-30 12:06:00+00:00,2020-06-30 17:36:00+00:00,2020-06-30,17,Tuesday,30,30,198,Hashtags,7158204930285070
morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit #scelerisque,8412656725709000,2020-06-30 11:29 +0000,198.0,4.0,0.02020202,0.0,0,1.0,1.0,0,0,2,0,0,0,0,0,0,0.0,0.0,2020-06-30 11:29:00+00:00,2020-06-30 16:59:00+00:00,2020-06-30,16,Tuesday,30,17,115,Other,8412656725709000,2020-06-30 11:29:00+00:00,2020-06-30 16:59:00+00:00,2020-06-30,16,Tuesday,30,17,115,Other,8412656725709000
eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id #pellentesque,1697739445805240,2020-06-30 11:20 +0000,1298.0,28.0,0.021571649,0.0,2,3.0,0.0,0,3,20,0,0,0,0,0,0,0.0,0.0,2020-06-30 11:20:00+00:00,2020-06-30 16:50:00+00:00,2020-06-30,16,Tuesday,30,17,120,Hashtags,1697739445805240,2020-06-30 11:20:00+00:00,2020-06-30 16:50:00+00:00,2020-06-30,16,Tuesday,30,17,120,Hashtags,1697739445805240
tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo #justo,5739997848071200,2020-06-30 11:04 +0000,160.0,3.0,0.01875,0.0,1,1.0,0.0,0,0,1,0,0,0,0,0,0,27.0,0.0,2020-06-30 11:04:00+00:00,2020-06-30 16:34:00+00:00,2020-06-30,16,Tuesday,30,25,153,Media,5739997848071200,2020-06-30 11:04:00+00:00,2020-06-30 16:34:00+00:00,2020-06-30,16,Tuesday,30,25,153,Media,5739997848071200
ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla #nisi,7941923809016870,2020-06-30 11:01 +0000,1080.0,25.0,0.023148148,0.0,2,7.0,0.0,2,2,9,0,0,0,0,0,0,191.0,3.0,2020-06-30 11:01:00+00:00,2020-06-30 16:31:00+00:00,2020-06-30,16,Tuesday,30,26,155,Media,7941923809016870,2020-06-30 11:01:00+00:00,2020-06-30 16:31:00+00:00,2020-06-30,16,Tuesday,30,26,155,Media,7941923809016870
